P45985	Q14315
Q8N543	Q99426
Q9H3P7	Q9BTW9
O95352	Q9BTW9
Q8IZ73	Q9BTW9
P42224	Q9BTW9
Q9BRG1	Q9BTW9
P46926	Q15813
Q8NE71	Q9BZK7
P45974	Q96EI5
P78371	P17987
Q99832	P17987
Q9NWS0	Q9Y4R8
Q13404	P21980
P27797	Q9NWX6
O43852	Q9NWX6
Q08J23	Q9NWX6
Q9NR46	Q9NWX6
O43399	Q9NWX6
Q96MX6	Q9NWX6
Q13185	P52888
Q8IWE2	Q9BV44
Q13162	Q9Y490
O43143	Q9NYL9
P11940	Q9NYL9
P00966	O95379
O75935	Q9C0C2
Q96P70	Q92973
Q9BQ52	Q9Y5L0
P30153	Q9Y5L0
Q9ULA0	Q68CZ2
Q6ZMK1	Q9H0E2
P10412	O60784
P13716	O75674
P59998	O75674
Q9NZL4	O75674
Q9UBP6	O75674
Q9NPF4	O75674
P51692	O75674
O43852	Q96S44
Q86TI2	Q96S44
O00418	Q96S44
Q9HB71	P55327
Q9BTE6	O43399
P39687	O43399
Q92747	O43399
O15143	O43399
P27797	O43399
Q93034	O43399
Q9GZT8	O43399
Q15084	O43399
Q14738	O43399
Q9UBE0	O43399
Q96S44	O43399
Q53EL6	P55327
P25205	P06753
O14974	P29144
P61158	Q9Y3C4
Q92747	Q9Y3C4
Q9UJU6	Q9Y3C4
P15927	Q9Y3C4
Q9NZT2	Q12931
Q16204	Q13263
P04150	Q13263
P19388	Q13263
Q13616	Q96LD4
O14974	Q96LD4
P29144	Q96LD4
O43765	Q15645
O43765	Q15654
Q8TEX9	Q9UI30
Q14697	Q9NXH9
O43776	Q9NXH9
Q9Y3Z3	Q9NXH9
P13010	Q9NXH9
Q10567	Q96FX7
P56545	Q96Q11
Q9UNN5	P10155
P41250	P10155
P22102	P10155
P34932	P10155
O60678	P10155
Q9Y5K6	Q15714
Q9UKX7	Q15714
O75643	Q15714
P56945	Q9BSV6
Q06546	Q9BSV6
P21283	Q15631
Q13895	Q2NL82
P46783	Q2NL82
P25398	Q2NL82
P62269	Q2NL82
P39019	Q2NL82
P62847	Q2NL82
P46782	Q2NL82
Q8NC51	Q2NL82
Q9H7D7	Q2NL82
O76003	Q13630
P49915	Q13630
Q9Y570	Q13630
Q15293	Q13630
Q13620	Q99614
P29083	Q99614
P22059	Q99614
Q9P260	O95801
P35606	O43156
Q9NWS0	O43156
Q96T51	O43156
Q01658	Q14166
Q96AY3	Q14166
O14974	Q14166
Q3ZCM7	Q9BQE3
Q16881	Q9BQE3
Q9H853	P68366
P68371	P68366
Q9BUF5	P68366
P19367	Q13885
Q9UNZ2	Q13885
O95340	Q13885
Q9Y263	Q13885
Q9BQE3	P68371
P07437	P68371
P54136	P07437
P67809	P07437
Q8IU85	P49411
P10909	P49411
Q9UKN8	P49411
P07686	P49411
P19367	P49411
Q9Y263	P49411
Q13885	P49411
P19367	Q6IBS0
P14618	Q6IBS0
Q9Y263	Q6IBS0
A0AVT1	Q6IBS0
Q9UNM6	O43396
Q9NTK5	Q16881
P07437	Q16881
P17174	P04818
Q9Y3A5	P04818
Q9ULC4	P22314
O60664	Q9UBT2
Q9UJU6	Q9GZZ9
P19367	Q9GZZ9
Q96RS6	Q9GZZ9
Q9Y5Y2	A0AVT1
Q7L3B6	Q9NZ09
P17174	P62256
Q13177	Q712K3
P30084	Q13404
Q9NVE7	Q15386
Q9BXS6	O95155
Q96S82	O95155
P12277	O14562
P55010	O14562
Q9BS26	O14562
P11413	O14562
Q96I15	O14562
P21980	O14562
P27348	O14562
P25685	Q9UHD9
P15927	Q9UHD9
P61758	Q9UHD9
Q9P289	Q04323
Q9P0J7	Q9Y5K5
Q9NPF4	P61960
Q96S44	P61960
O95352	O60701
Q14247	O60701
P41250	O60701
P52655	O60701
Q9HAV4	O60701
Q08J23	Q9NYU2
O60925	Q9NYU2
O75534	Q16851
Q9Y4E8	Q16851
P62888	P54578
Q15773	O94966
P14625	Q9UHP3
Q6PJG6	Q86UV5
P54105	P45974
P49902	P45974
O95747	P45974
Q96Q11	P45974
Q9NZT2	Q93009
Q58WW2	Q93008
O00469	Q6EMK4
Q16851	Q6EMK4
Q13620	P50552
Q9NY27	P50552
O14744	P50552
P41250	Q99536
Q01813	Q99536
Q14166	P61758
P11413	P18206
O15067	P18206
P27348	P18206
Q8TEB1	P55072
Q8TC07	O75436
P34896	Q9UBQ0
Q9Y6Y0	Q96QK1
Q8N573	Q96QK1
P83731	Q96QK1
P49588	P23381
O95302	P23381
P54725	P23381
P24928	O75717
Q9H5N1	O75717
O14530	O75717
P30520	O75083
Q16539	O75083
P53602	O75083
Q9UJ70	O75083
P30566	P57081
Q93034	P57081
Q9H773	P57081
P25685	P57081
Q32P28	P57081
Q8TAT6	P57081
Q9Y570	P57081
Q9UBE0	P57081
Q712K3	P57081
Q9UHD9	P57081
O14964	Q9BQA1
Q9H4M9	Q9NQW7
P07954	Q9NQW7
O95302	Q9NQW7
P22314	Q9NQW7
P17655	O14980
Q96AC1	O14980
P34931	O14980
Q13564	O14980
Q99933	Q9HAV4
P57081	Q9HAV4
Q86X55	Q9UIA9
P25685	Q9UIA9
P41250	Q9UIA9
Q06210	Q9UIA9
Q92598	Q9UIA9
O43776	Q9UIA9
O15355	Q9UIA9
Q9Y3Z3	Q9UIA9
Q15436	Q9UIA9
Q9BV44	Q9UIA9
Q9Y4L1	P13010
P21281	P12956
Q9Y4L1	P12956
O60784	P46937
Q9UNQ2	P67809
Q13409	P67809
O43237	P67809
P35637	P67809
Q13283	P67809
Q14152	Q9Y5A9
P11413	P31946
P49419	P62258
P17655	P62258
P04632	P62258
Q9P289	P62258
Q13177	P62258
Q99426	P62258
P04406	P61981
Q13177	P61981
Q13404	P61981
P63104	P61981
P04632	Q04917
P11413	Q04917
P18206	Q04917
O14980	Q04917
P04632	P27348
P11413	P27348
P07195	P27348
O14745	P27348
P63104	P27348
P55010	P63104
P21980	P63104
P09651	Q86WB0
P17858	Q86WB0
Q15645	Q86WB0
P61158	O75312
P59998	O75312
Q99933	O75312
Q7Z422	O75312
Q93052	O75312
P11413	Q969S3
P55786	Q969S3
P41236	Q969S3
P22059	O95218
P13798	Q15942
Q86VP6	Q15942
P26639	Q15942
Q16851	Q15942
P23458	P47712
O75581	P04628
O94907	O75581
P04628	Q9H461
Q9GZZ1	P41227
O15315	Q6NVH7
Q9NP77	P24928
P27694	Q9H790
Q9H981	Q9H981
Q9HAV0	P61952
Q9HAV0	Q9UBI6
Q9HAV0	Q9P2W3
P62873	P63218
P62873	O60262
P49674	Q16635
Q09028	P06400
O95456	O95456
Q9BT73	P20618
Q9BT73	P49720
Q9BT73	P28070
Q9BT73	P25787
Q9BT73	O14818
Q9BT73	P60900
Q9BT73	P28066
O95456	O14818
Q9UNH5	P11229
Q9UNH5	Q99741
O00499	Q07889
O00499	O95782
Q9H4Z3	P52945
P61587	Q13309
Q13309	P61587
P02511	Q13485
O75376	P16220
P10912	P10912
Q96SW2	Q13422
Q96SW2	Q9UKT9
P62979	P04637
P61077	P0CG48
Q712K3	P0CG48
Q6ZN04	O95149
P11233	Q9BZG1
P11233	Q9Y333
P11233	Q8WWB5
P11233	Q8TEY7
P11234	Q8TEY7
O00635	Q9NYJ8
Q9Y297	O43312
O43312	P48730
Q96EY5	Q9H9H4
Q8NEZ2	Q9NZ09
P17987	Q86Y07
Q86Y07	P78371
Q9Y297	Q8TAT6
Q9Y297	P55072
Q13616	Q15910
Q9Y297	Q15910
P60896	P11142
P60896	Q14152
P60896	Q99613
P60896	P68104
P60896	P13639
P60896	Q9NU22
P60896	Q6P1X5
P60896	P25490
P60896	Q7KZF4
P60896	Q8NDT2
P60896	Q99700
P60896	Q8IWG1
P60896	Q9UFE4
P60896	Q9C0G6
P26368	P54274
Q00987	Q9Y3T9
Q00987	P23458
P23458	Q00987
Q16777	P0CG48
Q16778	P0CG48
Q16777	Q16778
Q16777	Q9Y4E8
P38398	Q7Z6Z7
Q7Z6Z7	P38398
Q9Y4E8	Q5VTR2
Q9Y4E8	Q15020
Q16778	Q15020
Q16777	Q15020
O43791	P10275
P10721	P16871
P10721	P51692
Q12906	P14866
Q86UE4	Q9NS56
P51955	P35222
Q99496	P23921
Q13309	P10275
Q9NW38	Q9BXW9
P35520	O75925
P35520	O00257
Q9BXM7	O95816
Q13620	O43482
Q9Y297	Q01664
Q01664	Q9UKB1
Q01664	Q13616
Q9UHQ1	Q9UJU2
Q9UK80	Q96C10
P36873	Q9Y6K9
P15941	P37231
P15927	P09874
P27694	P35579
P15927	Q460N5
P35244	Q460N5
P35244	P49916
P15927	Q13535
P27694	Q8NFZ0
P27694	Q9H2U1
P27694	P51530
P35244	Q9BUJ2
P35244	Q14527
P35244	Q9H0D6
P15927	Q9BUJ2
P27694	Q14527
P27694	Q9H0D6
P27694	Q14103
P35244	P12956
P35244	P23246
P35244	Q96DH6
P15927	P35580
P15927	Q9H9A7
P15927	Q96DH6
P27694	Q9NXV6
P27694	Q9NZ71
P27694	Q14191
P35244	P04406
P35244	Q96T60
P15927	Q8IXQ6
P15927	Q96T60
P27694	P13051
P27694	P22626
P27694	P04406
P27694	Q9BWF3
P27694	P06748
P27694	P05198
P27694	Q99729
P27694	Q13303
P27694	Q9BYJ9
P15927	O43251
P15927	P20585
P15927	P09651
P15927	O43809
P15927	Q13303
P15927	Q9BYJ9
P15927	Q8IZH2
P35244	P06748
P35244	P20585
P35244	Q13303
P35244	Q9BYJ9
P35244	O75643
P35244	Q9UL03
P35244	Q8TDB6
P35244	Q00839
P15927	Q9UL03
P15927	P48729
P15927	Q8TDB6
P15927	P35249
P15927	P62736
P15927	Q06830
P27694	Q96PK6
P27694	Q8IY67
P27694	O60930
P15927	O60930
P35244	Q7Z7L1
P35244	P78549
P35244	Q92879
P35244	O14979
P15927	P18124
P15927	Q05639
P15927	Q96P63
P15927	P07355
P15927	Q96EP5
P15927	Q9H6T0
P27694	P18124
P27694	P07355
P27694	Q9BSD7
P27694	Q9Y5A9
P27694	P68371
P27694	O43143
P27694	P68366
P27694	Q562R1
P27694	P51148
P27694	P14678
P27694	Q9BQE3
P27694	O94906
P27694	Q92841
P27694	O75396
P27694	P07437
P27694	P62081
P27694	P61006
P15927	P51991
P15927	P35749
P15927	Q92841
P15927	Q92979
P15927	P61978
P15927	Q29RF7
P15927	Q8WWI1
P15927	Q13435
P35244	P68371
P35244	P68366
P35244	P51991
P35244	P14678
P35244	O94906
P35244	P46781
P35244	O75396
P35244	P62081
P35244	Q92979
P35244	Q29RF7
P35244	P35250
P35244	Q6WCQ1
P35244	O00571
P35244	Q14498
P35244	P32969
P35244	Q8N752
P15927	P40429
P15927	P35250
P15927	Q15459
P15927	Q8WVB6
P15927	P49756
P15927	Q15393
P15927	O75934
P15927	Q14676
P27694	P46782
P27694	Q6WCQ1
P27694	O75934
P27694	Q14676
P27694	Q8N752
P27694	Q12965
P27694	Q9UQE7
P27694	Q68E01
P27694	Q8NI27
P15927	Q96QC0
P15927	Q8NI27
P15927	Q00610
P35244	Q6P2Q9
P35244	P11940
P35244	Q13428
P35244	Q92797
P35244	Q92974
P35244	Q14008
P35244	Q14683
P35244	O95347
P15927	O43390
P15927	Q14008
P15927	O95347
P15927	P11142
P15927	Q8N163
P27694	Q9UPQ0
P27694	P05187
P27694	Q02878
P27694	Q12907
P27694	O43795
P27694	Q5T1M5
P27694	P14866
P27694	Q9HCE1
P27694	Q86W42
P27694	Q14839
P27694	O60341
P27694	P49959
P15927	Q5T1M5
P15927	P14866
P15927	Q9HCE1
P15927	Q86W42
P15927	Q09666
P15927	P48634
P15927	P11021
P15927	P11586
P35244	Q5T1M5
P35244	Q12905
P35244	Q86W42
P35244	Q08211
P35244	O60341
P35244	P11586
P35244	O15042
P35244	P51946
P35244	P27816
P35244	P09884
P35244	P61019
P35244	P40938
P35244	Q02543
P35244	O95816
P35244	Q8WY36
P35244	Q05682
P35244	P27824
P35244	P50613
P35244	Q7L014
P35244	Q8WUA4
P35244	Q9Y446
P35244	Q9H9Y6
P35244	P19388
P35244	Q9NTJ3
P35244	Q6I9Y2
P35244	Q14677
P35244	Q92499
P35244	P20042
P35244	Q9BSJ8
P35244	O60264
P35244	P63010
P35244	P07814
P35244	Q15024
P35244	O60812
P35244	P05556
P35244	Q13310
P35244	Q9UMS4
P35244	P20340
P35244	P98175
P35244	Q96L21
P35244	P61247
P35244	Q9NQC3
P35244	Q96EE3
P35244	O14776
P35244	Q96KR1
P15927	O60506
P15927	O14828
P15927	Q2NL82
P15927	Q9UNX4
P15927	P35611
P15927	Q01780
P15927	Q13889
P15927	O60934
P15927	O75475
P15927	P40938
P15927	P42166
P15927	Q10567
P15927	O95816
P15927	P50613
P15927	P53621
P15927	P19784
P15927	Q8WUA4
P15927	P19388
P15927	Q9NTJ3
P15927	Q6I9Y2
P15927	Q14669
P15927	P61421
P15927	Q14677
P15927	O75128
P15927	Q92499
P15927	Q8WXX5
P15927	Q15014
P15927	O94913
P15927	Q9NRW1
P15927	O43823
P15927	O94973
P15927	P63010
P15927	P05089
P15927	Q8IWX8
P15927	O60812
P15927	P05556
P15927	Q6KC79
P15927	O14974
P15927	Q96L21
P15927	P61247
P15927	O95104
P15927	O14776
P15927	Q15554
P15927	Q6NZY4
P27694	P54920
P27694	Q9NQG5
P27694	O60506
P27694	O14828
P27694	P35611
P27694	Q13889
P27694	P27816
P27694	O75475
P27694	P40938
P27694	Q8N5C6
P27694	P42166
P27694	Q9ULW0
P27694	O95816
P27694	Q8WY36
P27694	Q7L014
P27694	P00533
P27694	Q969X5
P27694	Q9UKM9
P27694	Q96SI9
P27694	Q9C0J8
P27694	O75128
P27694	Q16531
P27694	Q92499
P27694	O94913
P27694	Q9NRW1
P27694	P61313
P27694	P07951
P27694	Q15024
P27694	O60812
P27694	Q9NPJ6
P27694	Q13310
P27694	O00264
P27694	Q96L21
P27694	Q15554
P27694	O75717
P27694	Q96KR1
Q9UMS4	P35244
Q9NZC7	P34932
Q9NZC7	O43143
Q9NZC7	P19013
Q9NZC7	Q5JRA6
Q9NZC7	Q6GQQ9
Q9NZC7	Q6P2Q9
Q9NZC7	Q9UKV3
Q9NZC7	P15924
Q9Y6D9	Q12834
Q9NZC7	Q96EP5
Q9NZC7	O14641
Q9NZC7	P63104
Q9NZC7	Q5T6F2
Q9NZC7	P10276
Q9NZC7	P30613
Q9NZC7	Q14978
Q9NZC7	P33240
Q9NZC7	Q96GM8
Q9NZC7	Q32P28
Q9NZC7	O43395
Q9NZC7	P07476
Q9NZC7	Q9HCS7
Q9NZC7	Q8IY63
Q9NZC7	O75970
Q9NZC7	Q15436
Q9NZC7	Q9UDW3
Q9NZC7	Q8TEQ6
Q9NZC7	O75400
Q9NZC7	P38919
Q9NZC7	Q9Y4Z0
Q9NZC7	Q5TC82
Q9NZC7	P19387
Q9NZC7	Q96DA0
Q9NZC7	Q15233
Q9NZC7	Q9H361
Q9NZC7	Q15717
Q9NZC7	A8K8P3
Q9NZC7	P62318
Q9NZC7	Q15678
Q9NZC7	P62136
Q9NZC7	O75556
Q9NZC7	O95678
Q9NZC7	Q9NR30
Q9NZC7	O75534
Q9NZC7	Q15428
Q9NZC7	A8K2U0
Q9NZC7	Q4VCS5
Q9NZC7	O95232
Q9NZC7	P12883
Q9NZC7	P23284
Q9NZC7	Q02878
Q9NZC7	Q14152
Q9NZC7	P62888
Q9NZC7	O14640
Q9NZC7	Q9Y4G8
Q9NZC7	P30044
Q9NZC7	P84103
Q9NZC7	Q9GZZ8
Q9NZC7	Q96SB4
Q9NZC7	Q13123
Q9NZC7	Q9BTC0
Q9NZC7	Q9NVI7
Q8N3V7	P16333
O43639	P22681
O43508	Q9Y275
Q9Y275	O43508
P48764	P35462
Q8WV99	P55072
Q8WV99	Q9BUN8
P45974	Q9NS91
P42336	P31749
P46531	Q9H0M0
P54829	P0CG48
Q6ZN17	P0CG48
Q9UMS4	O60645
Q13617	Q92597
O75469	Q16531
O75469	Q92630
Q92630	O75469
O95071	O75469
Q9NSI5	Q8TBB1
P04637	Q15008
Q01831	Q00987
P11308	Q93008
P0CG48	Q9UKT9
P14598	Q01995
P11308	P55265
P11308	Q99459
P11308	Q9BUQ8
P11308	P22087
P11308	P31943
P11308	Q1KMD3
P11308	Q12906
P11308	P19338
P11308	P24928
P11308	O75400
P11308	P23246
P11308	O75643
P11308	Q02880
Q9Y576	Q04837
Q9Y576	P35613
Q9Y576	Q15029
Q9Y576	P40616
Q96Q27	P84243
Q96Q27	P09429
Q96Q27	P35813
Q96Q27	P62314
Q96Q27	P23588
Q9Y574	Q13619
Q9Y574	P02786
Q9Y574	Q13509
Q9Y574	Q9UDY4
Q9Y574	P04350
Q9Y574	P10809
Q9Y574	Q71UM5
Q9Y574	Q9UBF6
Q9Y574	Q13885
Q9Y575	Q96HS1
Q9Y575	Q9ULA0
Q9Y575	O75122
Q9Y575	P05141
Q9Y575	Q9Y2J2
Q9Y575	P30041
Q8WWX0	Q93034
Q8WWX0	Q9NWT6
Q8WWX0	P42704
Q8WWX0	P16615
Q8WWX0	P04843
Q8WWX0	P62714
Q8WWX0	P31689
Q9NWX5	Q9NWT6
Q9NWX5	P04792
Q9NWX5	Q86UW7
Q9H672	Q15369
Q9H672	Q9Y574
Q9H672	P18206
Q9H672	P02679
Q9H672	P02675
Q9H765	Q9NWT6
Q9H765	P49755
Q9H765	Q9C0C7
Q96DX5	P84243
Q96DX5	P62820
Q96DX5	P18669
Q96DX5	P60709
Q96DX5	P08758
Q8WXI3	Q9UNE7
Q8WXI3	Q96HS1
Q8WXI3	P53007
Q8WXI3	P05141
Q8WXI3	P40616
Q8WXI3	P63173
Q8WXI3	P0CG48
Q8WXI3	P46783
Q9P0N8	P49427
Q8TCQ1	P51668
Q9P2E8	P62256
Q9Y5B9	Q5VTR2
Q9Y5B9	Q8N7H5
O75925	Q969R5
Q06323	Q16186
Q9GZQ8	Q00975
Q9Y297	P49841
Q8WXH4	P49721
Q8WXH4	Q13200
Q8WXH4	Q14697
Q8WXK4	P07737
Q8WXK4	P60709
Q8WXK4	Q15369
Q8WXK4	P23246
Q8WXK4	P63173
Q8WXK4	Q9BXP5
Q8WXK4	Q6UB35
Q8WXK4	P49411
Q8WXK4	Q9H2U1
Q8WXK4	Q16875
Q8WXK4	P02679
Q8WXK4	Q14257
Q8WXK4	O95831
Q8WXK4	Q04760
Q8WXK3	Q04837
Q8WXK3	Q15369
A6NK59	Q96HS1
A6NK59	P49411
A6NK59	P53007
A6NK59	Q04721
A6NK59	Q99623
A6NK59	Q9P0L0
A6NK59	P51571
Q8WXK1	Q93008
Q8WXK1	P09622
Q8WXK1	P02794
Q8WXK1	Q9BQA1
Q8WXK1	P35573
Q8WXK1	P06744
Q8WXK1	P08670
Q8WXJ9	Q14257
Q8WXJ9	P49411
Q8WXJ9	P51571
Q8WXJ9	P18085
Q8WXJ9	P53007
Q8WXJ9	P68363
Q96NS5	Q9NWT6
Q96NS5	P84243
Q96NS5	P62805
Q96NS5	Q99877
Q96NS5	P0C0S5
Q96NS5	P18669
Q96NS5	P12277
Q96NS5	O95425
Q96NS5	P02794
Q96NS5	P55060
Q6ZVZ8	P60891
Q6ZVZ8	Q13268
Q6ZVZ8	P05141
Q6ZVZ8	Q9Y2W1
Q9Y575	Q9NWX5
Q9Y574	Q16531
Q8WXH4	P0CG48
P61586	Q13490
Q13490	P60953
P22681	P04626
Q92995	P60484
P0CG48	O00308
Q9Y6I4	O95786
Q16543	Q9BYZ6
Q14258	P53396
Q14258	P22314
Q14258	P27694
Q03135	Q9H1Y0
P04637	P53801
P46934	Q13616
Q9Y297	P46934
P46934	P63208
Q96GF1	O14641
O14641	Q96GF1
P37173	Q9BUZ4
Q9Y4E8	Q9BUZ4
Q9HAU4	Q12905
Q9HAU4	P67809
Q9HAU4	P12236
P07437	P54252
P46934	P21860
Q9Y2K1	P12004
Q9Y2K1	Q13263
Q9Y2K1	Q9UPN9
Q9Y2K1	Q8N163
Q9Y2K1	P11142
Q9Y2K1	Q9NYF8
Q9Y2K1	P46776
Q9Y2K1	P62888
Q9Y2K1	P62273
Q9Y2K1	P40429
Q9Y2K1	Q07955
Q9Y2K1	Q9Y5P0
Q9Y2K1	P49207
Q9Y2K1	P83731
Q9Y2K1	P04792
Q9Y2K1	P05388
Q9Y2K1	Q07020
Q9Y2K1	P15924
Q9Y2K1	O95785
Q9Y2K1	P50914
Q9Y2K1	P68371
Q9Y2K1	P63162
Q9Y2K1	Q08499
Q9Y2K1	Q15058
Q9Y2K1	P46781
Q9Y2K1	P62701
Q9Y2K1	P62318
Q9Y2K1	P62280
Q9Y2K1	P60709
Q9UBT6	Q9UIA9
P43246	Q9UBZ9
P34932	Q9UQ80
Q9UNE7	Q9UQ80
Q96EP0	P55072
Q96EP0	Q9ULX6
P01375	Q96BN8
Q01094	P10276
Q9NT62	Q14457
P46934	P51946
B9A6J9	P07437
P05106	P29317
P18084	P29317
P29317	O95782
O94966	P07900
O94966	P34932
O94966	Q96CS3
O94966	Q9BUN8
P62256	Q05397
Q9BYZ6	P31948
Q8N3Y1	Q92918
Q9Y574	P51668
Q6ZNE5	Q9NV70
Q96A65	O94817
Q96A65	Q96KP1
P15259	Q00987
Q00987	P18669
Q00987	P15259
P11234	O75385
Q86TM6	Q9UBP5
O75385	Q14457
Q9UBP5	Q86TM6
Q9UBP5	Q9Y5J3
Q9Y5J3	Q9UBV2
Q9Y5J3	Q9UBP5
Q96KP1	O75385
O75385	Q8IYI6
P11021	P35637
P11021	Q00839
P11021	Q99729
P11021	Q9BRK5
Q96CW1	P12235
Q96CW1	Q96CW1
Q96CW1	P00533
Q96CW1	P0DMV8
Q96CW1	P22626
Q8TF42	P31943
Q8TF42	P22626
Q8TF42	P62979
Q9UJM3	P27348
Q9UJM3	P62736
Q9UJM3	P68032
Q9UJM3	Q9UJM3
Q9UJM3	A5A3E0
Q9UJM3	Q8TF42
P16949	Q9NVW2
Q14694	Q9Y6K9
O14640	O14641
Q9NVW2	P16949
Q13490	Q86VP3
P01116	Q9Y297
Q9BXB1	O75581
Q9BXB1	P46940
P51668	Q9HAU4
P46940	Q9BXB1
P46940	Q05397
P46940	O00401
P46940	P49023
Q9BXB1	O75643
Q9BXB1	Q8TER5
Q9BXB1	Q10570
Q9BXB1	Q14839
Q9BXB1	P27816
Q9BXB1	Q99590
Q9BXB1	Q14980
Q9BXB1	Q12906
Q9BXB1	Q9NR30
Q9BXB1	Q9ULH0
Q9BXB1	A5A3E0
Q9BXB1	Q03164
Q9BXB1	Q9BQG0
Q9BXB1	P46777
Q9BXB1	P63261
Q9BXB1	P20648
Q9BXB1	Q13428
Q9BXB1	Q14160
Q9BXB1	P05023
Q9BXB1	P80404
Q9BXB1	Q70EL1
Q9BXB1	Q04637
Q9BXB1	P54652
Q9BXB1	P16615
Q9BXB1	O00571
Q9BXB1	Q8TEM1
Q9BXB1	P07814
Q9BXB1	Q15424
Q9BXB1	P42704
Q9BXB1	O60469
Q9BXB1	Q12873
Q9BXB1	P56180
Q9BXB1	Q92841
Q9BXB1	P13647
Q9BXB1	O60306
Q9BXB1	Q00325
Q9BXB1	P04843
Q9BXB1	Q6P2E9
Q9BXB1	P61978
Q9BXB1	Q6PEY2
Q9BXB1	O14792
Q9BXB1	P13637
Q9BXB1	Q96N67
Q9BXB1	P04440
Q9BXB1	A3KMH1
Q9BXB1	Q569K6
Q9BXB1	Q5T9A4
Q9BXB1	P49756
Q9BXB1	Q9UHC9
Q9BXB1	Q8N3X1
Q9BXB1	Q6Y7W6
Q9BXB1	P04264
Q9BXB1	P49750
Q9BXB1	Q92802
Q9BXB1	Q09013
Q9BXB1	Q9NYU2
Q9BXB1	O14983
Q9BXB1	Q00839
Q9BXB1	P02538
Q9BXB1	P58335
Q96EP0	P03372
Q13315	O43791
Q16539	P18850
P23284	P35638
P35638	P23284
Q8WV99	P46379
Q96BN8	Q9H0F6
P55072	Q96BN8
P23443	P45983
P04792	O43318
P12004	Q9Y5V3
Q9BXM7	P0CG48
Q9Y4K3	Q53GL0
Q9C026	P60880
Q9UGN5	Q96T88
O60285	P63208
O60285	Q9UKB1
O76064	O95999
Q8IYW5	O95999
P61088	Q8IYW5
Q719H9	P35222
O95071	P49459
O95071	P63146
O95071	P68036
Q13114	Q9HBL8
Q13114	Q96FW1
O15111	P09651
O15111	O00233
P28070	P09651
O00418	P37108
O00418	P78406
O00418	Q13085
O00506	Q8WZ74
O95747	O95831
P15735	O43819
P15735	P45880
P15735	P46020
P15735	Q5T2N8
P15735	Q8WU90
P15735	Q9NVI7
P15735	A8K8P3
P17612	P10644
P17612	P24588
P17612	P31321
P17612	P31323
P17612	Q13627
P17612	Q15691
P19525	O00425
P19784	O00422
P19784	O14786
P19784	O75487
P19784	O75934
P19784	P35659
P19784	P61964
P19784	P68400
P19784	Q06587
P19784	Q3KNV8
P19784	Q6PII5
P19784	Q8IY57
P19784	Q8TBX8
P19784	Q8WXX7
P19784	Q99459
P19784	Q9BYG3
P19784	Q9H307
P19784	Q9HCM7
P19784	Q9UK58
P19784	Q9UQ88
P22694	O95292
P22694	P24588
P22694	P61962
P22694	P63167
P22694	Q15691
P22694	Q92667
P22694	Q9P0L0
P25098	P35626
P41240	P42685
P41240	Q63HR2
P48729	A6ND36
P48729	O15027
P48729	O75330
P48729	Q7L775
P48729	Q9H4H8
P48729	Q9UK59
P49674	A7E2V4
P49674	O00507
P49674	O94776
P49674	O94887
P49674	P61964
P49674	Q13162
P49674	Q96L94
P49674	Q9P0K1
P49841	O75122
P49841	Q9Y2J2
Q00535	P40227
Q00535	Q07002
Q00535	Q12931
Q05655	Q04759
Q13131	Q9UGJ0
Q13153	Q13177
Q13153	Q15052
Q13153	Q9NVF7
Q13188	P20929
Q13188	P46821
Q13418	O14654
Q13418	O43819
Q13418	P04049
Q13418	P16615
Q13418	P30876
Q13418	P36776
Q13418	P40227
Q13418	P48643
Q13418	P50990
Q13418	P78371
Q13418	P78527
Q13418	Q8N490
Q13418	Q8NE01
Q13418	Q99832
Q13418	Q9BQB6
Q13418	Q9ULX6
Q13418	Q9Y5V3
Q15418	P28799
Q15418	P51812
Q15418	Q13085
Q96S44	P52788
Q9BVS4	O75436
Q9BVS4	Q5T5X7
Q9BVS4	Q9ULT8
Q9P289	O00506
Q9P289	P62714
P78563	Q8TDN6
P78563	Q12894
P78563	Q15050
Q9UL18	Q9UBS4
Q9UL18	Q13451
Q9UL18	Q9UPN7
Q9UL18	Q9BQ70
Q9UKV8	P31327
Q9UKV8	Q6DN90
Q9UKV8	P49917
Q9UKV8	O75306
Q9UKV8	P07237
Q9UKV8	P10644
Q9UKV8	Q5W0B1
Q9UKV8	Q9BYJ9
Q9H9G7	Q9UPY3
Q9H9G7	Q15633
Q9NPI6	O95429
Q9NPI6	Q12796
Q8IZD4	Q63ZY3
Q8IZD4	Q12796
Q8IU60	Q5VTE6
Q8IU60	Q9BXS5
Q8IU60	P17655
Q8IU60	Q9UK99
Q8IU60	P38435
Q8IU60	Q9UJ14
Q8IU60	Q9BX10
Q8IU60	P14735
Q8IU60	Q9NVH2
Q8IU60	Q15054
Q8IU60	Q96NB2
Q8IU60	Q13501
Q8WYQ5	P28482
Q8WYQ5	P78406
Q9UPY3	Q6P444
Q9UPY3	Q13823
Q9UPY3	O75569
Q9NRR4	Q86X55
Q9NRR4	O00255
Q9NRR4	O75340
Q9NRR4	Q13136
P56537	Q96D46
Q06787	Q6S8J3
Q8IY81	Q13895
Q8IY81	Q16531
Q8IY81	Q99733
Q8IY81	Q9C0C9
Q8IY81	Q969S3
P51114	Q14444
P51114	Q96S59
P51116	Q16630
P51116	Q8N684
P51116	Q13283
P51116	O43809
