Q86TC9	P35609
Q9HCE1	Q5VZL5
Q9HCE1	Q9UL18
Q9HCE1	Q9UPN3
Q9HCE1	P34820
Q9HCE1	Q12834
Q9HCE1	Q96G25
Q9HCE1	P06132
Q9HCE1	Q14114
Q9HCE1	Q9BZE1
Q9HCE1	Q9UDY4
Q9HCE1	P28288
Q9HCE1	Q8IVB5
Q9HCE1	Q15047
Q9HCE1	P31949
Q9HCE1	Q9HCY8
Q9HCE1	P06753
Q9HCE1	P52798
Q9HCE1	Q9UPR3
Q9HCE1	P49137
Q9HCE1	O15381
Q9HCE1	P09874
Q9HCE1	Q5TA31
Q9HCE1	Q499Z4
Q9HCE1	P39210
Q9HCE1	Q16629
Q9HCE1	P42704
Q9HCE1	Q12805
Q9HCE1	Q99832
Q9HCE1	P49247
Q9HCE1	P10606
Q9HCE1	Q9H1A4
Q9HCE1	Q99952
Q9HCE1	Q9C0D5
Q9HCE1	O75431
Q9HCE1	Q13506
Q9HCE1	P10809
Q9HCE1	P24534
Q9HCE1	P68366
Q9HCE1	Q9Y4P1
Q9HCE1	Q8WYH8
Q9HCE1	P59998
Q9HCE1	Q93075
Q9HCE1	P04049
Q9HCE1	Q12770
Q9HCE1	Q96ER9
Q9HCE1	Q5XPI4
Q9HCE1	Q13275
Q9HCE1	P13196
Q9HCE1	O95243
Q9HCE1	P34925
Q9HCE1	Q9BS18
Q9HCE1	Q92995
Q9HCE1	Q9NUQ8
Q9HCE1	Q9H089
Q9HCE1	P78316
Q9HCE1	O43143
Q9HCE1	Q14103
Q9HCE1	Q9UHY7
Q9HCE1	Q9BT78
Q9HCE1	P52306
Q9HCE1	Q9UHA4
Q9HCE1	Q16836
Q9HCE1	P49207
Q9HCE1	Q9ULK6
Q9HCE1	P12235
Q9HCE1	O75380
Q9HCE1	Q63HQ2
Q9HCE1	P55085
Q9HCE1	P34932
Q9HCE1	Q8IWZ3
Q9HCE1	L0R6Q1
Q9HCE1	P12081
Q9HCE1	Q9H2T7
Q9HCE1	O94804
Q9HCE1	Q96IK1
Q9HCE1	Q9UJV9
Q9HCE1	Q13501
Q9HCE1	P16083
Q9HCE1	P23527
Q9HCE1	Q96KQ7
Q9HCE1	O95989
Q9HCE1	Q9HAV4
Q9HCE1	O75509
Q9HCE1	Q8TF01
Q9HCE1	Q8N3C0
Q9HCE1	O60508
Q9HCE1	Q92769
Q9HCE1	P15260
Q9HCE1	Q8TB52
Q9HCE1	Q9UKT4
Q9HCE1	Q9BWD1
Q9HCE1	Q9H0U6
Q9HCE1	Q6ZMB5
Q9HCE1	Q9Y5X2
Q9HCE1	Q9NWF9
Q9HCE1	O94880
Q9HCE1	Q8N0U8
Q9HCE1	Q15056
Q9HCE1	P61966
Q9HCE1	O75439
Q9HCE1	Q16864
Q9HCE1	Q6PID8
Q9HCE1	Q92621
Q9HCE1	Q9BV99
Q9HCE1	P21281
Q9HCE1	Q9UIA9
Q9HCE1	Q08495
Q9HCE1	Q8WUX9
Q9HCE1	Q6AZY7
Q9HCE1	P29084
Q9HCE1	P33991
Q9HCE1	Q9P015
Q9HCE1	Q15390
Q9HCE1	Q96JH7
Q9HCE1	P53803
Q9HCE1	P63104
Q9HCE1	Q10570
Q9HCE1	Q9H3R0
Q9HCE1	Q9NZ09
Q9HCE1	Q99720
Q9HCE1	Q9Y490
Q9HCE1	Q9UBQ7
Q9HCE1	P04083
Q9HCE1	Q9BSH5
Q9HCE1	Q5T7W0
Q9HCE1	Q9BPX5
Q9HCE1	Q9H4F1
Q9HCE1	Q92574
Q9HCE1	Q15526
Q9HCE1	O15260
Q9HCE1	Q9GZR2
Q9HCE1	Q9Y2I8
Q9HCE1	Q13617
Q9HCE1	Q8NDW4
Q9HCE1	Q9NR31
Q9HCE1	Q6NUS6
Q9HCE1	Q9BWM7
Q9HCE1	P61163
Q9HCE1	Q9BTE3
Q9HCE1	Q9UGI0
Q9HCE1	Q99733
Q9HCE1	P17405
Q9HCE1	P53365
Q9HCE1	P04040
Q9HCE1	Q8N684
Q9HCE1	O43581
Q9HCE1	P36404
Q9HCE1	Q8N5H3
Q9HCE1	Q8N9N8
Q9HCE1	Q9UBS0
Q9HCE1	Q14980
Q9HCE1	Q969Z4
Q9HCE1	P23396
Q9HCE1	Q8WVL7
Q9HCE1	Q8IY63
Q9HCE1	Q9NRN7
Q9HCE1	Q9UPV0
Q9HCE1	Q9H270
Q9HCE1	Q9BQA5
Q9HCE1	O75604
Q9HCE1	Q96CU9
Q9HCE1	P46087
Q9HCE1	Q9H0R8
Q9HCE1	Q9Y2W2
Q9HCE1	Q9Y3F4
Q9HCE1	Q7Z4S6
Q9HCE1	Q8NDX6
Q9HCE1	Q8TAQ2
Q9HCE1	Q15434
Q9HCE1	Q8IXL7
Q9HCE1	Q9NW08
Q9HCE1	P30086
Q9HCE1	Q8N5U6
Q9HCE1	Q9HBH0
Q9HCE1	Q7L4I2
Q9HCE1	Q6N063
Q9HCE1	Q99549
Q9HCE1	Q9Y619
Q9HCE1	Q9UL03
Q9HCE1	Q86VN1
Q9HCE1	Q5JVF3
Q9HCE1	Q9Y5B9
Q9HCE1	P28074
Q9HCE1	Q86UP0
Q9HCE1	Q9C0C6
Q9HCE1	Q86TW2
Q9HCE1	P0DP23
Q9HCE1	Q13572
Q9HCE1	Q9GZR7
Q9HCE1	P12277
Q9HCE1	Q27J81
Q9HCE1	Q6DHV7
Q9HCE1	Q8IWY8
Q9HCE1	O95190
Q9HCE1	Q9NZD8
Q9HCE1	Q02241
Q9HCE1	P09661
Q9HCE1	Q9BV90
Q9HCE1	O00746
Q9HCE1	Q15697
Q9HCE1	Q9BT22
Q9HCE1	Q96QK1
Q9HCE1	Q16254
Q9HCE1	Q6P2E9
Q9HCE1	Q12968
Q9HCE1	P15559
Q9HCE1	O00308
Q9HCE1	Q9BUB4
Q9HCE1	Q8N8U2
Q9HCE1	Q8TBB5
Q9HCE1	Q4G176
Q9HCE1	P26373
Q9HCE1	Q9HD42
Q9HCE1	Q9BT40
Q9HCE1	O75352
Q9HCE1	O95361
Q9HCE1	Q9Y2S7
Q9HCE1	Q15649
Q9HCE1	Q13085
Q9HCE1	O43242
Q9HCE1	P10827
Q9HCE1	P61289
Q9HCE1	Q86Y91
Q9HCE1	O95232
Q9HCE1	P63272
Q9HCE1	Q86XP3
Q9HCE1	Q6NYC1
Q9HCE1	O14964
Q9HCE1	Q9Y4B5
Q9HCE1	Q9GZX9
Q9HCE1	Q9BUF5
Q9HCE1	Q8TEP8
Q9HCE1	Q9C091
Q9HCE1	Q6IA86
Q9HCE1	Q68CL5
Q9HCE1	Q96PU5
Q9HCE1	Q08117
Q9HCE1	Q8TF64
Q9HCE1	Q9BZV1
Q9HCE1	Q14151
Q9HCE1	Q9H6Z4
Q9HCE1	Q8IY17
Q9HCE1	P29597
Q9HCE1	O00754
Q9HCE1	O75792
Q9HCE1	P10588
Q9HCE1	Q9UPW8
Q9HCE1	O00459
Q9HCE1	Q9NX70
Q9HCE1	O00267
Q9HCE1	O75290
Q9HCE1	Q96F63
Q9HCE1	P0DP23
Q9HCE1	Q5UCC4
Q9HCE1	Q96AB3
Q9HCE1	Q9Y6I3
Q9HCE1	Q6DD87
Q9HCE1	Q68DY9
Q9HCE1	P46782
Q9HCE1	O00567
Q9HCE1	O43837
Q9HCE1	Q9HDC9
Q9HCE1	Q9NTZ6
Q9HCE1	Q9Y2H0
Q9HCE1	Q9H410
Q9HCE1	Q9HCD5
Q9HCE1	Q9P2E3
Q9HCE1	Q13627
Q9HCE1	P56181
Q9HCE1	P55347
Q9HCE1	P53675
Q9HCE1	P46109
Q9HCE1	Q9UH36
Q9HCE1	Q9UBB9
Q9HCE1	Q96GD0
Q9HCE1	Q96B97
Q9HCE1	Q13162
Q9HCE1	P98175
Q9HCE1	P51784
Q9HCE1	P98179
Q9HCE1	Q96G74
Q9HCE1	O95239
Q9HCE1	Q9H0U3
Q9HCE1	Q8TE76
Q9HCE1	O15226
Q9HCE1	Q15904
Q9HCE1	O60832
Q9UBU9	O00468
Q9UBU9	Q99497
Q9UBU9	P52209
Q9UBU9	P42345
Q9UBU9	Q9UI95
Q9UBU9	O95140
Q9UBU9	Q7Z422
Q9UBU9	Q5TGZ0
Q9UBU9	P39656
Q9UBU9	Q9Y266
Q9UBU9	Q9H0R3
Q9UBU9	P18754
Q9UBU9	P23246
Q9UBU9	Q5VZL5
Q9UBU9	Q9UL18
Q9UBU9	P34820
Q9UBU9	Q9BW60
Q9UBU9	Q96G25
Q9UBU9	Q9BZE1
Q9UBU9	Q96N67
Q9UBU9	Q9ULJ1
Q9UBU9	P61968
Q9UBU9	Q9H2P9
Q9UBU9	Q5T6C5
Q9UBU9	Q5VSL9
Q9UBU9	O43504
Q9UBU9	P52907
Q9UBU9	O75934
Q9UBU9	Q99755
Q9UBU9	P48382
Q9UBU9	Q9NY26
Q9UBU9	P06753
Q9UBU9	P52798
Q9UBU9	Q14814
Q9UBU9	P48681
Q9UBU9	P51858
Q9UBU9	O43752
Q9UBU9	Q9Y2X9
Q9UBU9	Q9NRG4
Q9UBU9	Q5VST9
Q9UBU9	Q5TA31
Q9UBU9	Q15061
Q9UBU9	Q8N5C6
Q9UBU9	Q14203
Q9UBU9	P49247
Q9UBU9	P61158
Q9UBU9	Q16719
Q9UBU9	P23229
Q9UBU9	Q13506
Q9UBU9	Q9NYB9
Q9UBU9	Q969X1
Q9UBU9	P52746
Q9UBU9	Q14679
Q9UBU9	Q99460
Q9UBU9	Q8NCD3
Q9UBU9	Q93075
Q9UBU9	O60239
Q9UBU9	O75122
Q9UBU9	Q92922
Q9UBU9	P30304
Q9UBU9	P31930
Q9UBU9	P13798
Q9UBU9	P52756
Q9UBU9	Q12894
Q9UBU9	Q96QZ7
Q9UBU9	Q14554
Q9UBU9	P11172
Q9UBU9	P61619
Q9UBU9	P34925
Q9UBU9	P05166
Q9UBU9	O43567
Q9UBU9	Q9ULM3
Q9UBU9	O15440
Q9UBU9	Q9NVR7
Q9UBU9	Q8NBI6
Q9UBU9	P78316
Q9UBU9	P57679
Q9UBU9	Q12849
Q9UBU9	Q14103
Q9UBU9	O94979
Q9UBU9	Q9BT78
Q9UBU9	Q15034
Q9UBU9	P49207
Q9UBU9	P26583
Q9UBU9	Q9NRR4
Q9UBU9	O15126
Q9UBU9	Q9NZ08
Q9UBU9	P21796
Q9UBU9	O75367
Q9UBU9	Q9H6Y2
Q9UBU9	P12081
Q9UBU9	P49590
Q9UBU9	Q8NBM8
Q9UBU9	Q8N3V7
Q9UBU9	Q9H2T7
Q9UBU9	Q12907
Q9UBU9	P62807
Q9UBU9	Q99943
Q9UBU9	P36508
Q9UBU9	Q96PN7
Q9UBU9	Q9BQ90
Q9UBU9	P08238
Q9UBU9	Q9Y6P5
Q9UBU9	Q9NYF8
Q9UBU9	Q9H0U6
Q9UBU9	Q9Y5X2
Q9UBU9	Q8IXQ5
Q9UBU9	O75127
Q9UBU9	P35998
Q9UBU9	Q6PID8
Q9UBU9	Q9H788
Q9UBU9	Q96BY9
Q9UBU9	O95429
Q9UBU9	Q9P015
Q9UBU9	Q15390
Q9UBU9	Q96JH7
Q9UBU9	P55327
Q9UBU9	Q8TB45
Q9UBU9	Q96Q05
Q9UBU9	Q8IXZ2
Q9UBU9	Q14160
Q9UBU9	Q9H3R0
Q9UBU9	P21399
Q9UBU9	Q12986
Q9UBU9	Q9NZ09
Q9UBU9	Q76FK4
Q9UBU9	Q9NZB2
Q9UBU9	Q9H4F1
Q9UBU9	Q6KCM7
Q9UBU9	Q6P1M0
Q9UBU9	O75683
Q9UBU9	Q9GZR2
Q9UBU9	Q5T8A7
Q9UBU9	Q9BZC7
Q9UBU9	Q9Y2I8
Q9UBU9	Q8WXK3
Q9UBU9	Q92738
Q9UBU9	Q5T8D3
Q9UBU9	Q14692
Q9UBU9	Q7RTY1
Q9UBU9	P31942
Q9UBU9	P51530
Q9UBU9	Q9NR31
Q9UBU9	Q8NE35
Q9UBU9	O00151
Q9UBU9	O95169
Q9UBU9	O95817
Q9UBU9	Q9UGI0
Q9UBU9	O94973
Q9UBU9	Q96M86
Q9UBU9	Q99816
Q9UBU9	Q49AN0
Q9UBU9	Q8N3X1
Q9UBU9	Q9UMS4
Q9UBU9	Q9Y4D2
Q9UBU9	Q09666
Q9UBU9	Q8IV01
Q9UBU9	Q9H1C4
Q9UBU9	P50416
Q9UBU9	O15357
Q9UBU9	Q8WVL7
Q9UBU9	Q9NRN7
Q9UBU9	Q9Y4L1
Q9UBU9	Q9H270
Q9UBU9	Q9BQA5
Q9UBU9	O75604
Q9UBU9	Q15773
Q9UBU9	P20645
Q9UBU9	Q9Y3F4
Q9UBU9	Q14674
Q9UBU9	P08047
Q9UBU9	Q15633
Q9UBU9	P61020
Q9UBU9	Q8TAQ2
Q9UBU9	P49642
Q9UBU9	Q9ULR3
Q9UBU9	Q8IXL7
Q9UBU9	P78371
Q9UBU9	P30086
Q9UBU9	P49023
Q9UBU9	Q9HBH0
Q9UBU9	Q99549
Q9UBU9	Q9NPJ6
Q9UBU9	P10114
Q9UBU9	Q9NX57
Q9UBU9	Q9NXR5
Q9UBU9	Q13042
Q9UBU9	Q9Y5B9
Q9UBU9	Q9HCK8
Q9UBU9	Q15070
Q9UBU9	P28074
Q9UBU9	P56282
Q9UBU9	Q9UPI3
Q9UBU9	Q9C0C6
Q9UBU9	Q86TW2
Q9UBU9	Q9BUY7
Q9UBU9	P0DP23
Q9UBU9	Q96KE9
Q9UBU9	Q6P4F7
Q9UBU9	O60306
Q9UBU9	Q9Y448
Q9UBU9	Q9NVX0
Q9UBU9	Q12888
Q9UBU9	Q12965
Q9UBU9	O95190
Q9UBU9	Q13163
Q9UBU9	Q96ST3
Q9UBU9	P46940
Q9UBU9	Q9BV90
Q9UBU9	O00746
Q9UBU9	Q96S16
Q9UBU9	P78549
Q9UBU9	Q9BVC4
Q9UBU9	Q6ZW76
Q9UBU9	Q9BT22
Q9UBU9	P56270
Q9UBU9	O75150
Q9UBU9	Q68CZ1
Q9UBU9	P0CG12
Q9UBU9	P15559
Q9UBU9	P49588
Q9UBU9	Q9NUU7
Q9UBU9	P17027
Q9UBU9	Q6PCD5
Q9UBU9	Q8N8U2
Q9UBU9	Q14703
Q9UBU9	Q8TBB5
Q9UBU9	Q12979
Q9UBU9	Q9BT40
Q9UBU9	Q9H4L4
Q9UBU9	O75352
Q9UBU9	O95361
Q9UBU9	Q9UPT9
Q9UBU9	Q9Y2S7
Q9UBU9	P09972
Q9UBU9	Q9BZG1
Q9UBU9	P21359
Q9UBU9	Q8IXI2
Q9UBU9	O75771
Q9UBU9	O15234
Q9UBU9	P51148
Q9UBU9	P40763
Q9UBU9	Q9UH92
Q9UBU9	P30419
Q9UBU9	Q9H832
Q9UBU9	Q6AI12
Q9UBU9	P50616
Q9UBU9	Q96GE4
Q9UBU9	P17252
Q9UBU9	P52292
Q9UBU9	Q7Z6J9
Q9UBU9	Q6NYC1
Q9UBU9	O14777
Q9UBU9	Q9C091
Q9UBU9	Q9UIS9
Q9UBU9	Q6IQ32
Q9UBU9	Q86XN8
Q9UBU9	Q8IY17
Q9UBU9	P29597
Q9UBU9	P17612
Q9UBU9	O00459
Q9UBU9	P12955
Q9UBU9	O00267
Q9UBU9	P22087
Q9UBU9	P50552
Q9UBU9	P0DP23
Q9UBU9	Q15562
Q9UBU9	Q86XN6
Q9UBU9	Q14592
Q9UBU9	Q6NX49
Q9UBU9	P46782
Q9UBU9	O00567
Q9UBU9	Q9BY32
Q9UBU9	Q01094
Q9UBU9	Q14498
Q9UBU9	Q9HCD5
Q9UBU9	Q9UKD1
Q9UBU9	Q9NVD3
Q9UBU9	O00764
Q9UBU9	P54198
Q9UBU9	Q9UH36
Q9UBU9	P48739
Q9UBU9	Q15459
Q9UBU9	P18848
Q9UBU9	Q9UPQ9
Q9UBU9	Q9Y2D0
Q9UBU9	Q9NUQ3
Q9UBU9	Q96B97
Q9UBU9	Q13162
Q9UBU9	O95239
Q9UBU9	P21675
Q9UBU9	O15347
Q9UBU9	P51617
Q9UBU9	Q15904
Q9UBU9	O60832
Q9UBU9	Q9BWH2
O14617	Q9Y2T2
O14617	Q96T51
Q92831	P09874
P27361	Q92793
Q92831	O95602
P0DP91	Q92831
P35222	P37231
P19793	Q07869
Q9NQC7	Q15691
Q15691	Q12933
P37231	P23246
Q9HCU9	Q96ST3
Q9HCU9	Q16576
P37231	P05412
O75376	Q03181
P63208	P03372
P62877	P03372
Q92831	Q15691
P03372	Q13309
Q15691	Q99661
P24941	P03372
Q15691	Q9UPN3
Q15596	P50549
O95858	O14672
O60563	O15350
Q9Y2F5	P38432
Q9Y2F5	Q5W0Q7
P29590	Q16254
P29590	O15119
P12931	P57737
Q96L73	P16402
Q9UM73	P60709
Q9UM73	Q53GG5
Q9UM73	P35579
Q9UM73	Q13045
P56945	Q9UM73
Q07869	P28702
P37231	P28702
Q07869	P48443
P08151	Q15796
P37231	Q02750
P37231	Q03135
P37231	P84022
Q00839	P60709
Q5JR59	Q15691
Q5JR59	Q99661
Q7RTS3	Q9UBG7
Q7RTS3	P15923
Q01094	Q92831
Q13642	Q92793
Q09472	P06400
Q09472	Q9H9S0
Q00987	P61081
Q96CS3	P0CG48
Q92793	P33778
Q9HCU9	Q9HCU9
Q9HCU9	Q09472
Q96KQ4	Q09472
P05556	Q9UBV2
P16144	Q9UBV2
Q92793	Q9Y6B2
Q01826	Q09472
Q09472	Q01826
Q12778	P27348
Q09472	P0CG48
P68431	P04908
Q09472	O75030
Q00987	Q9Y620
Q15311	O95208
Q9UM47	Q06330
Q9UM47	P45379
Q9UM47	Q92543
Q9UM47	Q64LD2
Q9UM47	Q96QR1
Q9UM47	O95741
Q9UM47	Q6UXF1
Q9UM47	P52943
Q04206	P04637
O15519	Q8IUC6
P28482	Q16665
Q92793	P19419
P06493	Q09472
Q86US8	Q9Y5S9
Q86US8	P61326
Q86US8	Q9BZI7
Q86US8	Q92540
Q9H7E2	P11940
Q9H7E2	P61326
Q96C24	P32856
P61764	Q96C24
Q86YC2	Q9Y253
Q9Y253	Q86YC2
P51587	Q9Y253
Q9Y253	P51587
Q8N0Z6	P01106
Q8WZ42	Q13642
Q8IWE4	Q86VP6
Q9P2G4	Q13885
Q9BRQ0	P35222
Q09472	Q8IZL2
O60356	Q9UBU8
Q68DK7	P62826
Q68DK7	Q13573
O60356	Q15691
O60356	Q99547
O60356	E9PAV3
O60356	P67812
O60356	Q9P2W9
O60356	O60506
O60356	P35637
Q12888	Q68DK7
Q9BSD3	Q99638
Q9BSD3	Q9NS91
Q9BSD3	P61088
Q04837	Q68E01
Q9BSD3	O60921
Q9BSD3	O60671
P42345	Q9H063
P24385	Q09472
P49841	Q6R327
O15273	O15304
O15553	O15304
O15304	Q13555
P12956	P37231
Q00872	Q13642
Q14192	Q00872
Q13643	Q00872
Q6R327	O15111
P40763	Q00653
P28482	P37231
Q09472	Q9Y2D1
Q99966	P35222
O00203	Q6UWE0
O00141	Q92597
Q8IWS0	Q13547
Q8IWS0	Q14839
Q09028	Q8IWS0
Q8IWS0	P33778
Q8IWS0	P31942
Q8IWS0	Q00839
Q8IWS0	P05388
Q16611	P04637
Q7RTS3	Q13685
Q7RTS3	P15884
Q15751	Q16611
Q9HCJ0	Q13310
Q9HCJ0	Q9H9A5
Q9HCJ0	Q504Q3
Q12834	Q01094
Q9UJX3	Q01094
P30260	Q14186
Q9UJX4	Q14186
P45973	P49459
Q15036	P04629
Q96L92	P04629
Q92551	P62877
Q9H6Z4	P37231
P61201	Q13619
P61201	Q92551
O95477	P55055
Q9HBH0	Q9P2R3
Q9P2R3	Q9HBH0
Q16512	Q9UBL3
Q5TC82	P01375
Q00613	Q92793
Q9UM11	Q99708
Q99708	P49959
Q96MF7	Q96RU2
Q07666	O95365
O95365	Q07666
Q96T88	O95243
O95243	P40692
Q09472	O00330
O00330	Q13562
Q13315	P16220
P37275	Q93009
Q9UFF9	Q9NZN8
A5YKK6	P19793
Q9Y3R0	P37231
Q13393	Q16665
Q00987	Q6PHW0
Q00987	Q14103
Q00987	P02786
Q00987	P13639
Q00987	Q7KZF4
Q00987	O60763
Q00987	Q15029
O60934	Q9BPZ7
Q9BPZ7	O60934
Q06455	P38398
P49366	P38398
P14210	P38398
P06239	P38398
P48552	P38398
O43395	P38398
Q92993	P38398
Q9UJV3	P38398
Q7Z333	P38398
Q9NP98	P38398
P49006	P38398
Q8TDC3	P38398
Q5T7P8	P38398
Q8N8B7	P38398
Q86WS5	P38398
P38398	Q9NVN8
P38398	P46087
P38398	Q14980
P38398	Q9Y2P8
P38398	P46778
P38398	P49207
P38398	P42677
P38398	Q7Z333
P38398	Q7Z2W4
P38398	Q9UG63
P38398	Q8N556
P38398	Q69YH5
P38398	Q9BUQ8
P38398	O00148
P38398	P15408
P38398	O95235
P38398	Q6KC79
P38398	O60216
P38398	P35249
P38398	Q14683
P38398	O95785
Q9Y4B5	Q9Y4B5
O00560	P34741
P08962	O00560
P37231	P17535
P16220	P35222
Q92793	Q99453
Q6UXN9	Q9C005
Q07869	Q15596
Q9UBL3	Q09472
Q09472	Q9UBL3
Q09472	O15047
Q09472	Q15291
P04637	O15047
P04637	Q9P0U4
Q14994	Q9Y6Q9
P38398	Q8N8B7
Q9Y5B9	Q96HA7
O15392	O00170
Q92833	Q92769
Q13153	P31749
Q9NQL2	Q9UHA4
Q9NQL2	Q9Y2Q5
Q9HB90	Q9Y2Q5
Q16695	Q7Z3K3
Q9Y2Q5	Q6IAA8
Q9Y2Q5	Q5VZM2
Q9Y2Q5	P42345
Q9UBN7	P30622
Q6IAA8	Q5VZM2
Q8IUH5	P35520
Q8IUH5	P51674
Q8IUH5	Q14847
Q8IUH5	Q9UQB8
Q8IUH5	Q12874
Q8IUH5	O75409
Q8IUH5	Q5VTR2
Q8IUH5	P01040
Q8IUH5	Q01658
Q8IUH5	Q99504
Q8IUH5	P69891
Q8IUH5	P08397
Q8IUH5	Q92835
Q8IUH5	P60228
Q8IUH5	Q5BJF6
Q8IUH5	O15530
Q8IUH5	Q13829
Q8IUH5	Q96DT5
Q8IUH5	O00161
Q8IUH5	O94900
Q8IUH5	Q15047
Q8IUH5	Q13113
Q8IUH5	P52756
Q8IUH5	Q969H4
Q8IUH5	O00506
Q8IUH5	Q99828
Q8IUH5	O76041
Q8IUH5	Q12893
Q8IUH5	O60259
Q8IUH5	Q9UMW8
Q8IUH5	Q9NP61
Q8IUH5	O95881
Q8IUH5	Q9NP64
Q8IUH5	Q2TAL8
Q8IUH5	Q5D0E6
Q8IUH5	Q96FT7
Q8IUH5	Q9NTN9
Q8IUH5	Q8IZ08
Q8IUH5	Q9BWG6
Q8IUH5	Q5VYS8
Q8IUH5	Q96J42
Q8IUH5	O95867
Q8IUH5	Q9BYQ4
Q8IUH5	Q9BXY8
Q8IUH5	Q8IY31
Q8IUH5	Q96HT8
Q8IUH5	Q96CG8
Q8IUH5	Q6ZMI0
Q8IUH5	Q7Z7C8
Q8IUH5	Q96LX8
Q8IUH5	Q6P4D5
Q8IUH5	Q8NI37
Q8IUH5	Q7Z699
Q8IUH5	Q8N9I9
Q8IUH5	Q7Z698
Q8IUH5	Q96CN5
Q8IUH5	Q8IVB4
Q8IUH5	Q3SYB3
Q8IUH5	Q6DKI2
Q969S2	Q09472
Q7Z699	Q8IUH5
Q2MJR0	Q8IUH5
Q13642	P31749
Q9ULZ3	O43586
Q9ULZ3	P29590
Q9ULZ3	Q9UPN4
Q9ULZ3	Q8NEN0
Q9ULZ3	O00159
Q9ULZ3	Q8N475
Q9ULZ3	Q8IY82
P29590	Q9ULZ3
O14640	Q9GZV5
Q92997	Q9GZV5
P29034	Q9BPY8
O43734	Q9NRM6
O43734	P34932
O60341	Q96RU2
Q00987	Q9NZC7
Q16665	Q9NZC7
Q16665	Q9GZV5
P37231	P37231
P35372	P35212
P35372	Q9H3M0
P17252	P37231
P0DMV8	O60884
P0DMV8	P25685
P0DMV8	O75953
P17066	Q9UDY4
P17066	Q7Z6W7
Q09472	O14576
P37231	Q13526
Q16695	Q96ST3
Q16695	Q9C005
Q16695	O75182
Q16695	P20226
Q16695	Q92804
Q16695	Q8IXK0
Q16695	Q5T3J3
Q16695	Q13111
Q16695	Q9UBD5
Q16695	O00257
Q16695	Q15233
Q16695	Q8N108
Q16695	P19338
Q16695	P22626
Q16695	O43390
Q16695	Q5TGY3
Q16695	Q14839
P62805	Q13416
P62805	O43913
P10636	P10636
Q92905	P35372
Q8WUU5	Q96QT6
Q8WUU5	Q13547
Q8WUU5	Q16576
P83916	Q6N043
P83916	Q5TGY3
P45973	P19338
P41143	P35212
P41143	O43255
P41143	Q9P0L0
Q7Z3K3	P83916
Q7Z3K3	P45973
Q7Z3K3	Q5VZL5
Q7Z3K3	Q13185
P41145	Q9Y679
P41145	Q8TEW6
P41145	Q8IUQ4
Q96JM3	Q13185
Q9UI95	Q96JM3
Q9UI95	Q7Z3K3
Q9UI95	P45973
P37231	O14920
P37231	Q92830
Q9H0F6	Q9Y6K9
Q9H0F6	O15111
Q5VT06	Q13133
Q9HCU9	Q13618
O43791	Q9HCU9
P32302	P16520
P32302	Q9UK08
P32302	P04899
P32302	Q14344
Q14344	P32302
P29590	Q92794
Q92794	P62805
P50750	Q5VTR2
Q8N5Y2	Q8N7H5
Q9H7Z6	Q8N7H5
P62837	Q9NYG5
P30518	Q8NCT1
P30518	O14964
P30518	Q00610
Q8NCT1	P30518
O43791	P35659
P10415	P21796
Q1W6H9	P31749
Q9NZJ0	Q92830
P61077	Q00987
P62837	Q00987
Q96LR5	Q9BW61
Q7L5Y6	Q9UBS8
P62877	Q969T4
P98170	Q14790
Q13489	Q14790
P61077	P38398
Q9BSB4	O75385
P46934	P04198
P05556	Q15027
Q15027	P31749
P31749	Q15027
Q02539	Q6P1J9
Q02539	Q9GZS3
Q02539	P62877
Q13951	Q15369
Q8N3Y1	P17987
P37173	P22681
O95835	P46934
O95835	Q86U42
Q04206	Q00987
O00487	P22314
P17980	P0CG48
P24941	Q14524
Q14999	P24752
Q14999	Q9UKV3
Q14999	O95573
Q14999	P68133
Q14999	P61160
Q14999	P04083
Q14999	P84077
Q14999	P52565
Q14999	O15144
Q14999	Q9NVI7
Q14999	P31939
Q14999	O95816
Q14999	P46379
Q14999	Q9UIG0
Q14999	Q9NYF8
Q14999	Q14137
Q14999	Q8TDN6
Q14999	Q9HDC9
Q14999	P16152
Q14999	P49368
Q14999	Q99832
Q14999	P50990
Q14999	P49454
Q14999	O14646
Q14999	O14578
Q14999	Q07065
Q14999	Q10570
Q14999	Q8N684
Q14999	O75390
Q14999	P67870
Q14999	P33240
Q14999	Q12996
Q14999	Q96EP5
Q14999	Q9BUQ8
Q14999	Q96GQ7
Q14999	Q7L014
Q14999	Q9BQ39
Q14999	P26196
Q14999	O43143
Q14999	Q08211
Q14999	A8K8P3
Q14999	P15924
Q14999	Q99848
Q14999	P24534
Q14999	P29692
Q14999	Q04637
Q14999	Q15056
Q14999	P13804
Q14999	P38117
Q14999	P35637
Q14999	Q14344
Q14999	Q13823
Q14999	O75367
Q14999	Q9P0M6
Q14999	P55084
Q14999	Q92769
Q14999	Q99877
Q14999	P62805
Q14999	P62805
Q14999	P62805
Q14999	P62805
Q14999	P62805
Q14999	Q16778
Q14999	P62805
Q14999	P13746
Q14999	P10321
Q14999	P51991
Q14999	P31943
Q14999	P14866
Q14999	O43390
Q14999	Q5SSJ5
Q14999	P51659
Q14999	P08238
Q14999	P11021
Q14999	P38646
Q14999	P10809
Q14999	Q9Y4L1
Q14999	P41252
Q14999	P50213
Q14999	Q13123
Q14999	Q12905
Q14999	Q16891
Q14999	P12268
Q14999	O00410
